id,sport,game,betOn,betType,pick,line,ou,prob,ev,evGrade,confidence,ml,grade,outcome,settledAt,hScore,aScore,note,date
2026-06-25_GER_ECU_SOC_AHGermany-1,SOC,,AH Germany -1,ML,,,,,,,,-110,,loss,2026-06-25T22:27:24.574000+00:00,,,,2026-06-25
2026-06-25_TOR_TEX_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-26T03:54:52.090000+00:00,,,,2026-06-25
2026-06-25_WSN_PHI_SPREAD_PHI+1.5,MLB,,PHI +1.5,SPREAD,,,,,,,,-115,,win,2026-06-26T04:00:24.192000+00:00,,,,2026-06-25
2026-06-25_PIT_SEA_ML_PIT,MLB,,PIT,ML,,,,,,,,-147,,win,2026-06-25T22:32:42.159000+00:00,,,,2026-06-25
prop_1782418886547,NBA,,Jackie Young OVER PRA O24.5,PROP,,,,,,,,-233,,win,2026-06-26T03:59:49.924000+00:00,,,,2026-06-25
prop_1782418855037,NBA,,Aja Wilson OVER PRA O34.5,PROP,,,,,,,,-257,,win,2026-06-26T03:59:28.732000+00:00,,,,2026-06-25
2026-06-25_CIV_CUW_SOC_AHIvoryCoast-1.5,SOC,,AH Ivory Coast -1.5,ML,,,,,,,,-110,,win,2026-06-25T22:33:17.137000+00:00,,,,2026-06-25
prop_1782418848915,NBA,,Aja Wilson OVER PTS O22.5,PROP,,,,,,,,-257,,win,2026-06-26T03:59:09.839000+00:00,,,,2026-06-25
2026-06-25_WSN_PHI_ML_WSN,MLB,,WSN,ML,,,,,,,,56,,loss,2026-06-26T03:54:52.074000+00:00,,,,2026-06-25
2026-06-25_DET_HOU_ML_DET,MLB,,DET,ML,,,,,,,,-115,,loss,2026-06-26T03:54:52.030000+00:00,,,,2026-06-25
2026-06-25_SF_OAK_SPREAD_OAK+1.5,MLB,,OAK +1.5,SPREAD,,,,,,,,-115,,win,2026-06-26T04:01:10.252000+00:00,,,,2026-06-25
2026-06-25_TOR_TEX_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-26T03:54:52.086000+00:00,,,,2026-06-25
2026-06-25_AUS_PAR_OU_UNDER2.5,SOC,,UNDER 2.5,OU,,,,,,,,-110,,win,2026-06-26T04:17:58.496000+00:00,,,,2026-06-25
2026-06-24_TB_KC_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-25T03:09:42.263000+00:00,,,,2026-06-24
2026-06-24_TOR_HOU_ML_TOR,MLB,,TOR,ML,,,,,,,,-145,,loss,2026-06-25T03:09:42.323000+00:00,,,,2026-06-24
2026-06-24_WSN_PHI_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-25T03:09:42.310000+00:00,,,,2026-06-24
2026-06-24_TB_KC_ML_TB,MLB,,TB,ML,,,,,,,,-156,,win,2026-06-25T03:09:42.261000+00:00,,,,2026-06-24
2026-06-24_LAA_BAL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-25T03:09:42.252000+00:00,,,,2026-06-24
2026-06-24_NYM_CHC_SPREAD_CHC+1.5,MLB,,CHC +1.5,SPREAD,,,,,,,,-115,,win,2026-06-24T22:34:56.149000+00:00,,,,2026-06-24
2026-06-24_WSH_MIN_SPREAD_MIN-8.5,WNBA,,MIN -8.5,SPREAD,,,,,,,,-115,,loss,2026-06-25T03:13:25.204000+00:00,,,,2026-06-24
2026-06-24_WSH_MIN_SPREAD_MIN-1.5,WNBA,,MIN -1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:13:17.838000+00:00,,,,2026-06-24
2026-06-24_MIA_TEX_SPREAD_TEX+1.5,MLB,,TEX +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-24T22:34:44.234000+00:00,,,,2026-06-24
2026-06-24_CHI_POR_SPREAD_CHI3.5,NHL,,CHI -3.5,SPREAD,,,,,,,,-115,,win,2026-06-25T18:16:51.584000+00:00,,,,2026-06-24
2026-06-24_CHI_POR_OU_OVER171.5,NHL,,OVER 171.5,OU,,,,,,,,-110,,win,2026-06-25T03:13:39.874000+00:00,,,,2026-06-24
2026-06-24_CHI_POR_WNBA_CHIML,WNBA,,CHI ML,ML,,,,,,,,-143,,win,2026-06-25T03:13:30.651000+00:00,,,,2026-06-24
2026-06-24_LAA_BAL_SPREAD_BAL+1.5,MLB,,BAL +1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:12:12.834000+00:00,,,,2026-06-24
2026-06-24_COL_BOS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-24T22:04:31.090000+00:00,,,,2026-06-24
2026-06-24_COL_BOS_SPREAD_BOS+1.5,MLB,,BOS +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-24T22:35:29.543000+00:00,,,,2026-06-24
2026-06-24_CWS_CLE_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-25T03:09:42.216000+00:00,,,,2026-06-24
2026-06-24_CWS_CLE_SPREAD_CLE+1.5,MLB,,CLE +1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:12:21.907000+00:00,,,,2026-06-24
2026-06-24_CWS_CLE_ML_CWS,MLB,,CWS,ML,,,,,,,,89,,loss,2026-06-25T03:09:42.213000+00:00,,,,2026-06-24
2026-06-24_NYM_CHC_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-24T19:55:48.027000+00:00,,,,2026-06-24
2026-06-24_MIA_TEX_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-24T18:41:59.299000+00:00,,,,2026-06-24
2026-06-24_ATL_GS_WNBA_ATLML,WNBA,,ATL ML,ML,,,,,,,,-193,,loss,2026-06-25T18:16:44.362000+00:00,,,,2026-06-24
2026-06-24_SCO_BRA_OU_UNDER3.5,SOC,,UNDER 3.5,OU,,,,,,,,-110,,win,2026-06-25T03:11:17.528000+00:00,,,,2026-06-24
2026-06-24_SCO_BRA_SOC_AHBrazil1.5,SOC,,AH Brazil 1.5,ML,,,,,,,,-110,,win,2026-06-25T03:15:01.458000+00:00,,,,2026-06-24
2026-06-24_MAR_HAI_SOC_AHMorocco-1.5,SOC,,AH Morocco -1.5,ML,,,,,,,,-110,,win,2026-06-25T03:11:23.464000+00:00,,,,2026-06-24
2026-06-24_WSH_MIN_OU_OVER169.5,WNBA,,OVER 169.5,OU,,,,,,,,-110,,loss,2026-06-25T03:14:00.372000+00:00,,,,2026-06-24
2026-06-24_GS_ATL_OU_OVER165.5,WNBA,,OVER 165.5,OU,,,,,,,,-110,,loss,2026-06-25T03:14:05.736000+00:00,,,,2026-06-24
prop_1782331093098,NBA,,Aliyah Boston OVER PRA O25.5,PROP,,,,,,,,-245,,win,2026-06-25T03:10:32.851000+00:00,,,,2026-06-24
prop_1782331083030,NBA,,Caitlin Clark OVER PRA O31,PROP,,,,,,,,-257,,loss,2026-06-25T03:10:43.306000+00:00,,,,2026-06-24
2026-06-24_DET_NYY_SPREAD_NYY+1.5,MLB,,NYY +1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:11:05.031000+00:00,,,,2026-06-24
2026-06-24_MAR_HAI_OU_UNDER3.5,SOC,,UNDER 3.5,OU,,,,,,,,-110,,loss,2026-06-25T03:11:11.083000+00:00,,,,2026-06-24
2026-06-24_KOR_RSA_OU_UNDER2.5,SOC,,UNDER 2.5,OU,,,,,,,,-110,,win,2026-06-25T03:14:58.165000+00:00,,,,2026-06-24
2026-06-24_SF_OAK_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-25T18:16:32.343000+00:00,,,,2026-06-24
2026-06-24_PIT_SEA_ML_PIT,MLB,,PIT,ML,,,,,,,,-118,,win,2026-06-25T03:09:42.296000+00:00,,,,2026-06-24
2026-06-24_MEX_CZE_OU_UNDER2.5,SOC,,UNDER 2.5,OU,,,,,,,,-110,,loss,2026-06-25T03:14:53.183000+00:00,,,,2026-06-24
2026-06-24_MIN_LAD_SPREAD_LAD+1.5,MLB,,LAD +1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:11:50.192000+00:00,,,,2026-06-24
2026-06-24_TOR_HOU_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-25T03:09:42.325000+00:00,,,,2026-06-24
2026-06-24_STL_ARI_SPREAD_ARI+1.5,MLB,,ARI +1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:11:44.404000+00:00,,,,2026-06-24
2026-06-24_PIT_SEA_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-25T03:09:42.299000+00:00,,,,2026-06-24
2026-06-24_DET_NYY_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-25T03:09:42.287000+00:00,,,,2026-06-24
2026-06-24_STL_ARI_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-25T03:09:42.371000+00:00,,,,2026-06-24
2026-06-24_DET_NYY_ML_DET,MLB,,DET,ML,,,,,,,,-132,,loss,2026-06-25T03:09:42.285000+00:00,,,,2026-06-24
2026-06-24_PIT_SEA_SPREAD_SEA+1.5,MLB,,SEA +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-25T03:12:38.812000+00:00,,,,2026-06-24
2026-06-24_SD_ATL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-25T03:23:41.159000+00:00,,,,2026-06-24
2026-06-24_IND_PHX_OU_OVER175.5,WNBA,,OVER 175.5,OU,,,,,,,,-110,,win,2026-06-25T03:13:11.415000+00:00,,,,2026-06-24
2026-06-24_IND_PHX_WNBA_INDML,WNBA,,IND ML,ML,,,,,,,,-211,,loss,2026-06-25T03:13:02.950000+00:00,,,,2026-06-24
2026-06-24_WSN_PHI_SPREAD_PHI+1.5,MLB,,PHI +1.5,SPREAD,,,,,,,,-115,,win,2026-06-25T03:12:01.831000+00:00,,,,2026-06-24
2026-06-23_SD_ATL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-24T04:55:20.259000+00:00,,,,2026-06-23
2026-06-23_CIN_MIL_OU_UNDER10.0,MLB,,UNDER 10.0,OU,,,,,,,,-110,,win,2026-06-24T02:53:27.589000+00:00,,,,2026-06-23
2026-06-23_NYM_CHC_SPREAD_CHC+1.5,MLB,,CHC +1.5,SPREAD,,,,,,,,-115,,win,2026-06-24T02:53:17.931000+00:00,,,,2026-06-23
2026-06-23_PIT_SEA_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-24T01:29:03.313000+00:00,,,,2026-06-23
2026-06-23_DET_NYY_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-24T01:34:10.355000+00:00,,,,2026-06-23
2026-06-23_DET_NYY_SPREAD_DET+1.5,MLB,,DET +1.5,SPREAD,,,,,,,,-115,,win,2026-06-24T02:52:40.702000+00:00,,,,2026-06-23
2026-06-23_TB_KC_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-24T01:29:03.299000+00:00,,,,2026-06-23
2026-06-23_SD_ATL_SPREAD_ATL+1.5,MLB,,ATL +1.5,SPREAD,,,,,,,,-115,,win,2026-06-24T04:57:50.516000+00:00,,,,2026-06-23
2026-06-23_LAA_BAL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-24T04:20:00.549000+00:00,,,,2026-06-23
2026-06-23_LAA_BAL_ML_LAA,MLB,,LAA,ML,,,,,,,,70,,win,2026-06-24T04:20:00.545000+00:00,,,,2026-06-23
2026-06-23_COL_BOS_SPREAD_BOS+1.5,MLB,,BOS +1.5,SPREAD,,,,,,,,-115,,win,2026-06-24T04:20:24.239000+00:00,,,,2026-06-23
2026-06-23_COL_BOS_OU_UNDER10.5,MLB,,UNDER 10.5,OU,,,,,,,,-110,,win,2026-06-24T03:13:23.201000+00:00,,,,2026-06-23
2026-06-23_COL_BOS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-24T03:13:23.197000+00:00,,,,2026-06-23
2026-06-23_CWS_CLE_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-24T02:00:31.650000+00:00,,,,2026-06-23
2026-06-23_WSN_PHI_ML_WSN,MLB,,WSN,ML,,,,,,,,-135,,loss,2026-06-24T01:47:14.694000+00:00,,,,2026-06-23
prop_1782261910581,NBA,,Jackie Young OVER PRA O24.5,PROP,,,,,,,,-233,,win,2026-06-24T04:23:02.638000+00:00,,,,2026-06-23
prop_1782261750976,NBA,,Aja Wilson OVER PTS O23.5,PROP,,,,,,,,-257,,loss,2026-06-24T04:22:58.537000+00:00,,,,2026-06-23
2026-06-23_MIA_TEX_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-24T01:34:10.387000+00:00,,,,2026-06-23
2026-06-23_MIA_TEX_SPREAD_TEX+1.5,MLB,,TEX +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-24T02:53:03.947000+00:00,,,,2026-06-23
2026-06-23_SF_OAK_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-24T04:30:47.820000+00:00,,,,2026-06-23
2026-06-22_COL_BOS_SPREAD_BOS+1.5,MLB,,BOS +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:58:20.870000+00:00,,,,2026-06-22
2026-06-22_WSN_PHI_ML_WSN,MLB,,WSN,ML,,,,,,,,-125,,win,2026-06-23T23:54:35.408000+00:00,,,,2026-06-22
2026-06-22_MIA_TEX_SPREAD_TEX+1.5,MLB,,TEX +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:54:07.021000+00:00,,,,2026-06-22
2026-06-22_CWS_CLE_ML_CWS,MLB,,CWS,ML,,,,,,,,89,,win,2026-06-23T23:57:00.912000+00:00,,,,2026-06-22
2026-06-22_STL_ARI_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-23T23:58:09.786000+00:00,,,,2026-06-22
2026-06-22_STL_ARI_SPREAD_ARI+1.5,MLB,,ARI +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:58:01.754000+00:00,,,,2026-06-22
2026-06-22_MIN_LAD_SPREAD_LAD+1.5,MLB,,LAD +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:57:36.921000+00:00,,,,2026-06-22
2026-06-22_MIA_TEX_ML_MIA,MLB,,MIA,ML,,,,,,,,-131,,loss,2026-06-23T23:54:02.993000+00:00,,,,2026-06-22
2026-06-22_TB_KC_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-23T23:53:16.853000+00:00,,,,2026-06-22
2026-06-22_DET_NYY_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-23T23:52:59.729000+00:00,,,,2026-06-22
2026-06-22_DET_NYY_SPREAD_NYY+1.5,MLB,,NYY +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-23T23:52:51.621000+00:00,,,,2026-06-22
2026-06-22_CWS_CLE_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-23T23:57:22.293000+00:00,,,,2026-06-22
2026-06-22_CWS_CLE_SPREAD_CLE+1.5,MLB,,CLE +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:57:12.754000+00:00,,,,2026-06-22
2026-06-22_SD_ATL_SPREAD_ATL+1.5,MLB,,ATL +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:58:34.399000+00:00,,,,2026-06-22
2026-06-22_STL_ARI_ML_STL,MLB,,STL,ML,,,,,,,,-144,,win,2026-06-23T23:57:52.846000+00:00,,,,2026-06-22
2026-06-22_CIN_MIL_SPREAD_MIL+1.5,MLB,,MIL +1.5,SPREAD,,,,,,,,-115,,win,2026-06-23T23:56:49.163000+00:00,,,,2026-06-22
2026-06-22_MIA_TEX_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-23T23:54:14.469000+00:00,,,,2026-06-22
2026-06-22_TOR_HOU_ML_TOR,MLB,,TOR,ML,,,,,,,,-126,,win,2026-06-23T23:55:23.283000+00:00,,,,2026-06-22
2026-06-22_TOR_HOU_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-23T23:56:14.088000+00:00,,,,2026-06-22
2026-06-22_TOR_HOU_SPREAD_HOU+1.5,MLB,,HOU +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-23T23:55:32.639000+00:00,,,,2026-06-22
2026-06-22_WSN_PHI_OU_UNDER7.5,MLB,,UNDER 7.5,OU,,,,,,,,-110,,win,2026-06-23T23:54:41.513000+00:00,,,,2026-06-22
2026-06-20_DET_CWS_ML_DET,MLB,,DET,ML,,,,,,,,-130,,win,2026-06-22T16:50:50.137000+00:00,,,,2026-06-20
2026-06-20_DET_CWS_SPREAD_CWS+1.5,MLB,,CWS +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-22T16:51:07.462000+00:00,,,,2026-06-20
2026-06-20_DET_CWS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-22T16:51:03.447000+00:00,,,,2026-06-20
2026-06-20_NYY_CIN_ML_NYY,MLB,,NYY,ML,,,,,,,,-201,,loss,2026-06-22T16:51:14.013000+00:00,,,,2026-06-20
2026-06-20_CHC_TOR_ML_CHC,MLB,,CHC,ML,,,,,,,,-136,,loss,2026-06-22T16:51:19.714000+00:00,,,,2026-06-20
2026-06-20_NYY_CIN_OU_UNDER10.5,MLB,,UNDER 10.5,OU,,,,,,,,-110,,loss,2026-06-22T16:51:27.030000+00:00,,,,2026-06-20
2026-06-20_CHC_TOR_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-22T16:51:34.295000+00:00,,,,2026-06-20
2026-06-20_ATL_MIL_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-22T16:51:53.855000+00:00,,,,2026-06-20
2026-06-20_ARI_MIN_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-22T16:53:16.990000+00:00,,,,2026-06-20
2026-06-20_ARI_MIN_ML_ARI,MLB,,ARI,ML,,,,,,,,-131,,loss,2026-06-22T16:53:13.982000+00:00,,,,2026-06-20
2026-06-20_LAD_BAL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-22T16:53:03.147000+00:00,,,,2026-06-20
2026-06-20_TB_WSN_ML_TB,MLB,,TB,ML,,,,,,,,-125,,loss,2026-06-22T16:52:21.678000+00:00,,,,2026-06-20
2026-06-20_MIA_SF_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-22T16:52:15.196000+00:00,,,,2026-06-20
2026-06-20_MIA_SF_ML_MIA,MLB,,MIA,ML,,,,,,,,-143,,win,2026-06-22T16:52:08.593000+00:00,,,,2026-06-20
2026-06-20_ATL_IND_SPREAD_ATL+8.5,WNBA,,ATL +8.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:54:15.790000+00:00,,,,2026-06-20
2026-06-20_ATL_MIL_ML_ATL,MLB,,ATL,ML,,,,,,,,-142,,win,2026-06-22T16:52:00.177000+00:00,,,,2026-06-20
2026-06-20_ATL_MIL_SPREAD_MIL+1.5,MLB,,MIL +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:51:56.766000+00:00,,,,2026-06-20
2026-06-20_ARI_MIN_SPREAD_MIN+1.5,MLB,,MIN +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:53:10.467000+00:00,,,,2026-06-20
2026-06-20_DAL_CHI_WNBA_DALML,WNBA,,DAL ML,ML,,,,,,,,-125,,win,2026-06-22T16:54:08.958000+00:00,,,,2026-06-20
2026-06-20_SEA_BOS_SPREAD_BOS+1.5,MLB,,BOS +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:53:32.793000+00:00,,,,2026-06-20
2026-06-19_DET_CWS_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-20T02:11:42.473000+00:00,,,,2026-06-19
2026-06-19_MIN_GS_WNBA_MINML,WNBA,,MIN ML,ML,,,,,,,,-193,,win,2026-06-22T16:54:02.607000+00:00,,,,2026-06-19
2026-06-19_NY_WSH_WNBA_NYML,WNBA,,NY ML,ML,,,,,,,,-193,,loss,2026-06-22T16:53:58.531000+00:00,,,,2026-06-19
2026-06-19_CON_TOR_WNBA_CONML,WNBA,,CON ML,ML,,,,,,,,-139,,loss,2026-06-22T16:53:53.012000+00:00,,,,2026-06-19
2026-06-19_SEA_BOS_SPREAD_BOS+1.5,MLB,,BOS +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:50:39.952000+00:00,,,,2026-06-19
2026-06-19_SEA_BOS_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-22T16:50:34.598000+00:00,,,,2026-06-19
2026-06-19_SEA_BOS_ML_SEA,MLB,,SEA,ML,,,,,,,,-112,,loss,2026-06-22T16:50:28.903000+00:00,,,,2026-06-19
2026-06-19_OAK_LAA_SPREAD_LAA+1.5,MLB,,LAA +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:50:22.503000+00:00,,,,2026-06-19
2026-06-19_DET_CWS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-20T02:06:32.044000+00:00,,,,2026-06-19
2026-06-19_DET_CWS_SPREAD_CWS+1.5,MLB,,CWS +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:49:17.254000+00:00,,,,2026-06-19
2026-06-19_CHC_TOR_ML_CHC,MLB,,CHC,ML,,,,,,,,-160,,win,2026-06-20T02:06:29.167000+00:00,,,,2026-06-19
2026-06-19_COL_PIT_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-22T16:50:12.485000+00:00,,,,2026-06-19
2026-06-19_COL_PIT_SPREAD_PIT+1.5,MLB,,PIT +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:50:09.641000+00:00,,,,2026-06-19
2026-06-19_KC_STL_ML_KC,MLB,,KC,ML,,,,,,,,83,,win,2026-06-22T16:50:03.547000+00:00,,,,2026-06-19
2026-06-19_TEX_SD_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-22T16:49:54.498000+00:00,,,,2026-06-19
2026-06-19_ATL_MIL_SPREAD_MIL+1.5,MLB,,MIL +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:49:42.385000+00:00,,,,2026-06-19
2026-06-19_TB_WSN_ML_TB,MLB,,TB,ML,,,,,,,,-131,,win,2026-06-20T02:06:32.059000+00:00,,,,2026-06-19
2026-06-19_MIA_SF_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-20T02:06:32.054000+00:00,,,,2026-06-19
2026-06-19_TB_WSN_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-20T02:06:32.058000+00:00,,,,2026-06-19
2026-06-19_CHC_TOR_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-20T02:06:29.170000+00:00,,,,2026-06-19
2026-06-19_MIA_SF_SPREAD_SF+1.5,MLB,,SF +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:49:37.347000+00:00,,,,2026-06-19
2026-06-19_MIA_SF_ML_MIA,MLB,,MIA,ML,,,,,,,,-120,,win,2026-06-20T02:06:32.052000+00:00,,,,2026-06-19
2026-06-19_NYY_CIN_OU_UNDER10.5,MLB,,UNDER 10.5,OU,,,,,,,,-110,,win,2026-06-20T02:06:32.048000+00:00,,,,2026-06-19
2026-06-18_IND_ATL_WNBA_INDML,WNBA,,IND ML,ML,,,,,,,,-130,,loss,2026-06-19T18:57:15.877000+00:00,,,,2026-06-18
2026-06-18_KC_STL_SPREAD_STL+1.5,MLB,,STL +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-19T20:46:07.380000+00:00,,,,2026-06-18
2026-06-18_KC_STL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-06-22T16:48:59.166000+00:00,,,,2026-06-18
2026-06-18_NYY_CWS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-22T16:48:00.545000+00:00,,,,2026-06-18
2026-06-18_NYY_CWS_ML_NYY,MLB,,NYY,ML,,,,,,,,-171,,loss,2026-06-22T16:47:56.682000+00:00,,,,2026-06-18
2026-06-18_PHI_NYM_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-22T16:47:51.856000+00:00,,,,2026-06-18
2026-06-18_MIL_CLE_ML_MIL,MLB,,MIL,ML,,,,,,,,-150,,loss,2026-06-18T21:21:14.146000+00:00,,,,2026-06-18
2026-06-18_BOS_TOR_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-18T20:03:41.328000+00:00,,,,2026-06-18
2026-06-18_BOS_TOR_SPREAD_TOR+1.5,MLB,,TOR +1.5,SPREAD,,,,,,,,-115,,win,2026-06-22T16:47:25.970000+00:00,,,,2026-06-18
2026-06-18_SEA_BAL_SPREAD_BAL+1.5,MLB,,BAL +1.5,SPREAD,,,,,,,,-115,,loss,2026-06-22T16:47:42.668000+00:00,,,,2026-06-18
2026-06-18_SEA_BAL_ML_SEA,MLB,,SEA,ML,,,,,,,,-148,,win,2026-06-22T16:47:30.771000+00:00,,,,2026-06-18
2026-06-18_TEX_MIN_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,loss,2026-06-18T21:41:16.278000+00:00,,,,2026-06-18
2026-06-18_TEX_MIN_ML_TEX,MLB,,TEX,ML,,,,,,,,81,,loss,2026-06-18T21:41:16.276000+00:00,,,,2026-06-18
2026-06-18_MIL_CLE_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-18T21:21:14.149000+00:00,,,,2026-06-18
2026-06-18_SEA_BAL_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-22T16:47:37.902000+00:00,,,,2026-06-18
2026-06-17_CIN_NYM_SPREAD_NYM+1.5,MLB,,NYM +1.5,SPREAD,,,,,,,,-115,,win,2026-06-18T17:27:11.937000+00:00,,,,2026-06-17
prop_1781749159750,NBA,,Aliyah Coffey OVER REB O5.5,PROP,,,,,,,,-118,,win,2026-06-18T17:25:03.578000+00:00,,,,2026-06-17
prop_1781749153231,NBA,,Olivia Miles OVER AST O5.5,PROP,,,,,,,,-115,,loss,2026-06-18T17:24:47.665000+00:00,,,,2026-06-17
prop_1781749144521,NBA,,A'ja Wilson OVER PTS O24.5,PROP,,,,,,,,-120,,win,2026-06-18T17:25:22.119000+00:00,,,,2026-06-17
2026-06-17_STL_SD_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-06-18T03:52:56.710000+00:00,,,,2026-06-17
2026-06-17_HOU_DET_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-06-18T03:52:56.706000+00:00,,,,2026-06-17
